Left Hand
==============
     JOINT_MIDDLE_JT1)	X: -0.104625 Y: 0.053918 Z: 0.249885 516.300964 141.479614
     JOINT_MIDDLE_JT2)	X: -0.116650 Y: 0.077148 Z: 0.239897 548.342590 94.658127
     JOINT_MIDDLE_TIP)	X: -0.125240 Y: 0.093740 Z: 0.232763 587.735596 87.343979
     JOINT_RING_BASE)	X: -0.065244 Y: 0.011908 Z: 0.257307 442.931122 217.180771
     JOINT_RING_JT1)	X: -0.089469 Y: 0.045641 Z: 0.246160 495.109131 154.998489
     JOINT_RING_JT2)	X: -0.101862 Y: 0.062900 Z: 0.240458 524.442261 120.041199
     JOINT_RING_TIP)	X: -0.113130 Y: 0.078590 Z: 0.235273 562.799988 117.025948
     JOINT_PINKY_BASE)	X: -0.041230 Y: 0.002097 Z: 0.248158 410.220856 236.294846
     JOINT_PINKY_JT1)	X: -0.061652 Y: 0.030628 Z: 0.236415 461.632202 186.000458
     JOINT_PINKY_JT2)	X: -0.071036 Y: 0.043736 Z: 0.231019 492.609253 171.021576
     JOINT_PINKY_TIP)	X: -0.079315 Y: 0.055303 Z: 0.226258 522.275024 156.676773
Right Hand
==============
     JOINT_WRIST)	X: -0.065748 Y: -0.063079 Z: 0.290123 445.344604 350.868317
     JOINT_CENTER)	X: -0.083159 Y: -0.026295 Z: 0.279743 469.662872 289.433411
     JOINT_THUMB_BASE)	X: -0.084763 Y: -0.059310 Z: 0.298950 467.915710 337.532013
     JOINT_THUMB_JT1)	X: -0.115997 Y: -0.038454 Z: 0.304734 515.239014 307.389465
